,dateTime,value.date,value.value,value.error
0,05/16/17 00:00:00,05/16/17,63.653536796569824,6.787087440490723
1,05/17/17 00:00:00,05/17/17,62.205946922302246,6.787087440490723
2,05/18/17 00:00:00,05/18/17,62.90564250946045,6.787087440490723
3,05/19/17 00:00:00,05/19/17,62.79745578765869,6.787087440490723
4,05/20/17 00:00:00,05/20/17,63.35872268676758,10.720475196838379
5,05/21/17 00:00:00,05/21/17,64.20198440551758,7.929502487182617
6,05/22/17 00:00:00,05/22/17,64.01740169525146,7.150901794433594
7,05/23/17 00:00:00,05/23/17,63.927889823913574,6.906152725219727
8,05/24/17 00:00:00,05/24/17,62.86889934539795,6.826395034790039
9,05/25/17 00:00:00,05/25/17,61.74757194519043,6.800101280212402
10,05/26/17 00:00:00,05/26/17,62.87372970581055,6.791399955749512
11,05/27/17 00:00:00,05/27/17,63.12952518463135,6.788516998291016
12,05/28/17 00:00:00,05/28/17,62.21399784088135,6.787561416625977
13,05/29/17 00:00:00,05/29/17,63.021074295043945,6.78724479675293
14,05/30/17 00:00:00,05/30/17,63.347527503967285,6.787138938903809
15,05/31/17 00:00:00,05/31/17,63.13243579864502,6.787104606628418
16,06/01/17 00:00:00,06/01/17,63.46737289428711,6.787093162536621
17,06/02/17 00:00:00,06/02/17,63.126444816589355,6.7870893478393555
18,06/03/17 00:00:00,06/03/17,65.91311836242676,10.273417472839355
19,06/04/17 00:00:00,06/04/17,63.77079391479492,11.045969009399414
20,06/05/17 00:00:00,06/05/17,62.32338809967041,8.011475563049316
21,06/06/17 00:00:00,06/06/17,60.75027084350586,7.175905227661133
22,06/07/17 00:00:00,06/07/17,60.49785804748535,6.91422176361084
23,06/08/17 00:00:00,06/08/17,60.349178314208984,6.829047203063965
24,06/09/17 00:00:00,06/09/17,61.8372220993042,6.80097770690918
25,06/10/17 00:00:00,06/10/17,62.37113094329834,6.791689872741699
26,06/11/17 00:00:00,06/11/17,64.58152866363525,10.276912689208984
27,06/12/17 00:00:00,06/12/17,62.88843822479248,12.827378273010254
28,06/13/17 00:00:00,06/13/17,60.85518741607666,8.432165145874023
29,06/14/17 00:00:00,06/14/17,60.54659938812256,7.302032470703125
30,06/15/17 00:00:00,06/15/17,58.01960277557373,6.954712867736816
31,06/16/17 00:00:00,06/16/17,60.187950134277344,6.8423309326171875
32,06/17/17 00:00:00,06/17/17,61.86475944519043,6.805367469787598
33,06/18/17 00:00:00,06/18/17,61.534217834472656,6.793144226074219
34,06/19/17 00:00:00,06/19/17,62.58127021789551,6.789094924926758
35,06/20/17 00:00:00,06/20/17,60.736284255981445,8.883792877197266
36,06/21/17 00:00:00,06/21/17,60.3037052154541,7.433483123779297
37,06/22/17 00:00:00,06/22/17,61.69567394256592,6.996529579162598
38,06/23/17 00:00:00,06/23/17,62.938350677490234,6.856009483337402
39,06/24/17 00:00:00,06/24/17,63.61386013031006,6.809882164001465
40,06/25/17 00:00:00,06/25/17,63.63072967529297,6.794638633728027
41,06/26/17 00:00:00,06/26/17,63.74867820739746,6.789589881896973
42,06/27/17 00:00:00,06/27/17,63.86215591430664,6.787917137145996
43,06/28/17 00:00:00,06/28/17,63.505887031555176,10.700529098510742
44,06/29/17 00:00:00,06/29/17,60.81849956512451,7.924424171447754
45,06/30/17 00:00:00,06/30/17,60.84443950653076,7.149348258972168
46,07/01/17 00:00:00,07/01/17,60.06397342681885,6.9056501388549805
47,07/02/17 00:00:00,07/02/17,61.68155384063721,6.826230049133301
48,07/03/17 00:00:00,07/03/17,64.14160919189453,6.800046920776367
49,07/04/17 00:00:00,07/04/17,65.04293155670166,6.7913818359375
50,07/05/17 00:00:00,07/05/17,65.05027484893799,6.788511276245117
51,07/06/17 00:00:00,07/06/17,66.58783626556396,6.787559509277344
52,07/07/17 00:00:00,07/07/17,67.98417663574219,6.787243843078613
53,07/08/17 00:00:00,07/08/17,68.73706531524658,6.787138938903809
54,07/09/17 00:00:00,07/09/17,66.6663007736206,6.787104606628418
55,07/10/17 00:00:00,07/10/17,66.49609661102295,6.787093162536621
56,07/11/17 00:00:00,07/11/17,67.42024421691895,6.7870893478393555
57,07/12/17 00:00:00,07/12/17,67.44129848480225,6.787087440490723
58,07/13/17 00:00:00,07/13/17,67.96449756622314,6.787087440490723
59,07/14/17 00:00:00,07/14/17,67.24360752105713,6.787087440490723
60,07/15/17 00:00:00,07/15/17,68.87281799316406,6.787087440490723
61,07/16/17 00:00:00,07/16/17,68.27770042419434,6.787087440490723
62,07/17/17 00:00:00,07/17/17,67.42395210266113,6.787087440490723
63,07/18/17 00:00:00,07/18/17,68.9766616821289,6.787087440490723
64,07/19/17 00:00:00,07/19/17,67.82641887664795,6.787087440490723
65,07/20/17 00:00:00,07/20/17,66.01378345489502,8.97042179107666
66,07/21/17 00:00:00,07/21/17,64.44606876373291,7.458244323730469
67,07/22/17 00:00:00,07/22/17,64.98470497131348,11.250008583068848
68,07/23/17 00:00:00,07/23/17,64.41568565368652,8.062017440795898
69,07/24/17 00:00:00,07/24/17,61.997833251953125,7.191250801086426
70,07/25/17 00:00:00,07/25/17,62.28012180328369,6.919167518615723
71,07/26/17 00:00:00,07/26/17,62.43828582763672,6.830671310424805
72,07/27/17 00:00:00,07/27/17,63.55286502838135,6.801514625549316
73,07/28/17 00:00:00,07/28/17,64.70416927337646,6.791868209838867
74,07/29/17 00:00:00,07/29/17,66.38883304595947,6.78867244720459
75,07/30/17 00:00:00,07/30/17,65.31409358978271,6.7876129150390625
76,07/31/17 00:00:00,07/31/17,66.67402839660645,10.273815155029297
