,dateTime,level,seconds,start_time,end_time
65,2015-11-12T05:00:00.000,restless,60,2015-11-12 05:00:00,2015-11-12 05:01:00
66,2015-11-12T05:01:00.000,asleep,2280,2015-11-12 05:01:00,2015-11-12 05:39:00
67,2015-11-12T05:39:00.000,restless,60,2015-11-12 05:39:00,2015-11-12 05:40:00
68,2015-11-12T05:40:00.000,asleep,2400,2015-11-12 05:40:00,2015-11-12 06:20:00
69,2015-11-12T06:20:00.000,restless,60,2015-11-12 06:20:00,2015-11-12 06:21:00
70,2015-11-12T06:21:00.000,asleep,60,2015-11-12 06:21:00,2015-11-12 06:22:00
71,2015-11-12T06:22:00.000,restless,60,2015-11-12 06:22:00,2015-11-12 06:23:00
72,2015-11-12T06:23:00.000,asleep,60,2015-11-12 06:23:00,2015-11-12 06:24:00
73,2015-11-12T06:24:00.000,restless,60,2015-11-12 06:24:00,2015-11-12 06:25:00
74,2015-11-12T06:25:00.000,asleep,1560,2015-11-12 06:25:00,2015-11-12 06:51:00
75,2015-11-12T06:51:00.000,restless,60,2015-11-12 06:51:00,2015-11-12 06:52:00
76,2015-11-12T06:52:00.000,asleep,1080,2015-11-12 06:52:00,2015-11-12 07:10:00
77,2015-11-12T07:10:00.000,restless,60,2015-11-12 07:10:00,2015-11-12 07:11:00
78,2015-11-12T07:11:00.000,asleep,60,2015-11-12 07:11:00,2015-11-12 07:12:00
79,2015-11-12T07:12:00.000,restless,60,2015-11-12 07:12:00,2015-11-12 07:13:00
80,2015-11-12T07:13:00.000,asleep,1680,2015-11-12 07:13:00,2015-11-12 07:41:00
81,2015-11-12T07:41:00.000,restless,180,2015-11-12 07:41:00,2015-11-12 07:44:00
82,2015-11-12T07:44:00.000,asleep,60,2015-11-12 07:44:00,2015-11-12 07:45:00
83,2015-11-10T23:21:00.000,asleep,1920,2015-11-10 23:21:00,2015-11-10 23:53:00
84,2015-11-10T23:53:00.000,restless,240,2015-11-10 23:53:00,2015-11-10 23:57:00
85,2015-11-10T23:57:00.000,awake,120,2015-11-10 23:57:00,2015-11-10 23:59:00
86,2015-11-10T23:59:00.000,restless,60,2015-11-10 23:59:00,2015-11-11 00:00:00
87,2015-11-11T00:00:00.000,asleep,1140,2015-11-11 00:00:00,2015-11-11 00:19:00
88,2015-11-11T00:19:00.000,restless,120,2015-11-11 00:19:00,2015-11-11 00:21:00
89,2015-11-11T00:21:00.000,asleep,2220,2015-11-11 00:21:00,2015-11-11 00:58:00
90,2015-11-11T00:58:00.000,restless,120,2015-11-11 00:58:00,2015-11-11 01:00:00
91,2015-11-11T01:00:00.000,asleep,60,2015-11-11 01:00:00,2015-11-11 01:01:00
92,2015-11-11T01:01:00.000,restless,120,2015-11-11 01:01:00,2015-11-11 01:03:00
93,2015-11-11T01:03:00.000,awake,60,2015-11-11 01:03:00,2015-11-11 01:04:00
94,2015-11-11T01:04:00.000,asleep,60,2015-11-11 01:04:00,2015-11-11 01:05:00
95,2015-11-11T01:05:00.000,restless,60,2015-11-11 01:05:00,2015-11-11 01:06:00
96,2015-11-11T01:06:00.000,asleep,600,2015-11-11 01:06:00,2015-11-11 01:16:00
97,2015-11-11T01:16:00.000,restless,60,2015-11-11 01:16:00,2015-11-11 01:17:00
98,2015-11-11T01:17:00.000,asleep,480,2015-11-11 01:17:00,2015-11-11 01:25:00
99,2015-11-11T01:25:00.000,restless,60,2015-11-11 01:25:00,2015-11-11 01:26:00
100,2015-11-11T01:26:00.000,asleep,4980,2015-11-11 01:26:00,2015-11-11 02:49:00
101,2015-11-11T02:49:00.000,restless,180,2015-11-11 02:49:00,2015-11-11 02:52:00
102,2015-11-11T02:52:00.000,asleep,60,2015-11-11 02:52:00,2015-11-11 02:53:00
103,2015-11-11T02:53:00.000,restless,60,2015-11-11 02:53:00,2015-11-11 02:54:00
104,2015-11-11T02:54:00.000,asleep,960,2015-11-11 02:54:00,2015-11-11 03:10:00
105,2015-11-11T03:10:00.000,restless,60,2015-11-11 03:10:00,2015-11-11 03:11:00
106,2015-11-11T03:11:00.000,asleep,4320,2015-11-11 03:11:00,2015-11-11 04:23:00
107,2015-11-11T04:23:00.000,restless,60,2015-11-11 04:23:00,2015-11-11 04:24:00
108,2015-11-11T04:24:00.000,asleep,120,2015-11-11 04:24:00,2015-11-11 04:26:00
109,2015-11-11T04:26:00.000,restless,120,2015-11-11 04:26:00,2015-11-11 04:28:00
110,2015-11-11T04:28:00.000,asleep,420,2015-11-11 04:28:00,2015-11-11 04:35:00
111,2015-11-11T04:35:00.000,restless,360,2015-11-11 04:35:00,2015-11-11 04:41:00
112,2015-11-11T04:41:00.000,asleep,60,2015-11-11 04:41:00,2015-11-11 04:42:00
113,2015-11-11T04:42:00.000,restless,60,2015-11-11 04:42:00,2015-11-11 04:43:00
114,2015-11-11T04:43:00.000,asleep,1560,2015-11-11 04:43:00,2015-11-11 05:09:00
115,2015-11-11T05:09:00.000,restless,120,2015-11-11 05:09:00,2015-11-11 05:11:00
116,2015-11-11T05:11:00.000,asleep,120,2015-11-11 05:11:00,2015-11-11 05:13:00
117,2015-11-11T05:13:00.000,restless,120,2015-11-11 05:13:00,2015-11-11 05:15:00
118,2015-11-11T05:15:00.000,asleep,2160,2015-11-11 05:15:00,2015-11-11 05:51:00
119,2015-11-11T05:51:00.000,restless,60,2015-11-11 05:51:00,2015-11-11 05:52:00
120,2015-11-11T05:52:00.000,asleep,1380,2015-11-11 05:52:00,2015-11-11 06:15:00
121,2015-11-11T06:15:00.000,restless,60,2015-11-11 06:15:00,2015-11-11 06:16:00
122,2015-11-11T06:16:00.000,asleep,2340,2015-11-11 06:16:00,2015-11-11 06:55:00
123,2015-11-11T06:55:00.000,restless,420,2015-11-11 06:55:00,2015-11-11 07:02:00
124,2015-11-11T07:02:00.000,asleep,180,2015-11-11 07:02:00,2015-11-11 07:05:00
125,2015-11-11T07:05:00.000,restless,60,2015-11-11 07:05:00,2015-11-11 07:06:00
126,2015-11-11T07:06:00.000,asleep,1200,2015-11-11 07:06:00,2015-11-11 07:26:00
127,2015-11-11T07:26:00.000,restless,60,2015-11-11 07:26:00,2015-11-11 07:27:00
128,2015-11-11T07:27:00.000,asleep,1560,2015-11-11 07:27:00,2015-11-11 07:53:00
129,2015-11-09T23:18:30.000,restless,120,2015-11-09 23:18:30,2015-11-09 23:20:30
130,2015-11-09T23:20:30.000,asleep,2640,2015-11-09 23:20:30,2015-11-10 00:04:30
131,2015-11-10T00:04:30.000,restless,240,2015-11-10 00:04:30,2015-11-10 00:08:30
132,2015-11-10T00:08:30.000,awake,120,2015-11-10 00:08:30,2015-11-10 00:10:30
133,2015-11-10T00:10:30.000,restless,60,2015-11-10 00:10:30,2015-11-10 00:11:30
134,2015-11-10T00:11:30.000,asleep,60,2015-11-10 00:11:30,2015-11-10 00:12:30
135,2015-11-10T00:12:30.000,restless,60,2015-11-10 00:12:30,2015-11-10 00:13:30
136,2015-11-10T00:13:30.000,asleep,180,2015-11-10 00:13:30,2015-11-10 00:16:30
137,2015-11-10T00:16:30.000,restless,60,2015-11-10 00:16:30,2015-11-10 00:17:30
138,2015-11-10T00:17:30.000,asleep,480,2015-11-10 00:17:30,2015-11-10 00:25:30
139,2015-11-10T00:25:30.000,restless,60,2015-11-10 00:25:30,2015-11-10 00:26:30
140,2015-11-10T00:26:30.000,asleep,360,2015-11-10 00:26:30,2015-11-10 00:32:30
141,2015-11-10T00:32:30.000,restless,60,2015-11-10 00:32:30,2015-11-10 00:33:30
142,2015-11-10T00:33:30.000,asleep,4980,2015-11-10 00:33:30,2015-11-10 01:56:30
143,2015-11-10T01:56:30.000,restless,60,2015-11-10 01:56:30,2015-11-10 01:57:30
144,2015-11-10T01:57:30.000,asleep,120,2015-11-10 01:57:30,2015-11-10 01:59:30
145,2015-11-10T01:59:30.000,restless,120,2015-11-10 01:59:30,2015-11-10 02:01:30
146,2015-11-10T02:01:30.000,asleep,180,2015-11-10 02:01:30,2015-11-10 02:04:30
147,2015-11-10T02:04:30.000,restless,60,2015-11-10 02:04:30,2015-11-10 02:05:30
148,2015-11-10T02:05:30.000,asleep,840,2015-11-10 02:05:30,2015-11-10 02:19:30
149,2015-11-10T02:19:30.000,restless,120,2015-11-10 02:19:30,2015-11-10 02:21:30
150,2015-11-10T02:21:30.000,asleep,180,2015-11-10 02:21:30,2015-11-10 02:24:30
151,2015-11-10T02:24:30.000,restless,60,2015-11-10 02:24:30,2015-11-10 02:25:30
152,2015-11-10T02:25:30.000,asleep,420,2015-11-10 02:25:30,2015-11-10 02:32:30
153,2015-11-10T02:32:30.000,restless,60,2015-11-10 02:32:30,2015-11-10 02:33:30
154,2015-11-10T02:33:30.000,asleep,120,2015-11-10 02:33:30,2015-11-10 02:35:30
155,2015-11-10T02:35:30.000,restless,60,2015-11-10 02:35:30,2015-11-10 02:36:30
156,2015-11-10T02:36:30.000,asleep,2160,2015-11-10 02:36:30,2015-11-10 03:12:30
157,2015-11-10T03:12:30.000,restless,60,2015-11-10 03:12:30,2015-11-10 03:13:30
158,2015-11-10T03:13:30.000,asleep,360,2015-11-10 03:13:30,2015-11-10 03:19:30
159,2015-11-10T03:19:30.000,restless,60,2015-11-10 03:19:30,2015-11-10 03:20:30
160,2015-11-10T03:20:30.000,asleep,180,2015-11-10 03:20:30,2015-11-10 03:23:30
161,2015-11-10T03:23:30.000,restless,60,2015-11-10 03:23:30,2015-11-10 03:24:30
162,2015-11-10T03:24:30.000,asleep,1500,2015-11-10 03:24:30,2015-11-10 03:49:30
163,2015-11-10T03:49:30.000,restless,60,2015-11-10 03:49:30,2015-11-10 03:50:30
164,2015-11-10T03:50:30.000,asleep,2520,2015-11-10 03:50:30,2015-11-10 04:32:30
